Date,Location,Latitude,Longitude,Climate_Zone,Rainfall_mm,Groundwater_Level_m,Water_Consumption_MLiters,Population,Temperature_C,Humidity_%,Evaporation_mm,TDS_ppm,pH_Level,Reservoir_Level_%,Pipeline_Pressure_bar,Agricultural_Usage_MLiters,Industrial_Usage_MLiters,Soil_Moisture_%,Vegetation_Index,Water_Price_INR,Population_Density_per_sqkm,Scarcity_Index,Risk_Level,Water_Sources,Risk_Factors
2023-01-01,Mumbai,19.076,72.8777,Tropical Monsoon,8.373737710158268,513.179814203103,10.0,12500084,25.244345558997388,65.45021418826643,6.456991504962751,302.73311439425095,7.164828185602804,75.20309303004879,3.4351412566365513,2.5103642802835227,6.9269656638046175,30.15765330477621,0.3480662554244988,17.562212524038255,123.79860056929384,3.2355678955002416,Severe,"['Reservoirs', 'Groundwater', 'Desalination']","['High Population Density', 'Industrial Use', 'Coastal Location']"
2023-01-02,Mumbai,19.076,72.8777,Tropical Monsoon,21.24443840003058,500.1966772400654,10.0,12312857,28.766639903296582,66.3574134876141,6.515964017181988,261.01622204569367,7.149818713512783,71.31370719693675,3.709225294976818,2.5974510509923774,6.855496270473686,44.60894039462943,0.6441514525997736,16.3052156159635,122.35210060517333,3.003999248610805,Severe,"['Reservoirs', 'Groundwater', 'Desalination']","['High Population Density', 'Industrial Use', 'Coastal Location']"
2023-01-03,Mumbai,19.076,72.8777,Tropical Monsoon,12.943795355813855,492.30613145886167,10.0,11686627,26.771617679369417,63.071059810254816,6.248846584839164,334.39301655985645,7.343305792519789,75.47480141478337,3.6425493483837235,3.3212228542371105,6.721448217774472,36.10526843829838,0.5034983859395064,15.032176829956214,123.5695805423672,3.426742692456725,Severe,"['Reservoirs', 'Groundwater', 'Desalination']","['High Population Density', 'Industrial Use', 'Coastal Location']"
2023-01-04,Mumbai,19.076,72.8777,Tropical Monsoon,11.090618850927797,516.5663410174086,10.0,12548097,28.33728076383446,61.50514986278385,6.821656774862583,357.2481427249505,7.3381915517636145,70.43514532689227,4.039542660560386,2.7195935068960826,7.567675516973208,40.52060454543702,0.4890283782828792,15.826882831720582,127.21348616758428,3.602623240050553,Severe,"['Reservoirs', 'Groundwater', 'Desalination']","['High Population Density', 'Industrial Use', 'Coastal Location']"
2023-01-05,Mumbai,19.076,72.8777,Tropical Monsoon,7.539275545937529,540.3150654743168,10.0,12550354,30.234021359563933,72.1839680682785,6.953487962669861,287.90618427345714,7.123787240892339,71.25966593885092,3.523791697582422,3.704913114457565,7.364825410679873,36.88644531596224,0.5241835666409225,15.950191055774042,123.30003670835274,3.3061816113213425,Severe,"['Reservoirs', 'Groundwater', 'Desalination']","['High Population Density', 'Industrial Use', 'Coastal Location']"
2023-01-06,Mumbai,19.076,72.8777,Tropical Monsoon,7.703586756670686,503.2400128497786,10.0,12630464,27.968136180883562,60.95741658400471,7.359419670385757,349.4166159123512,7.089454520438391,80.70039333706322,3.216539550965657,3.9206732258529087,6.9302218773922135,42.73422057005973,0.4820374469794858,15.16308034930588,122.74716965527074,3.3586783494266923,Severe,"['Reservoirs', 'Groundwater', 'Desalination']","['High Population Density', 'Industrial Use', 'Coastal Location']"
2023-01-07,Mumbai,19.076,72.8777,Tropical Monsoon,7.318266252444085,501.89887536140526,10.0,12368197,30.192829622964204,59.39424895944734,7.163975746756918,350.47818820960464,7.162235183052093,76.04762125654354,3.3472573069423763,4.150414114358399,9.084097846624703,45.65664898018493,0.5762664489182763,15.951930166056544,124.95934488497852,4.007442742109799,Severe,"['Reservoirs', 'Groundwater', 'Desalination']","['High Population Density', 'Industrial Use', 'Coastal Location']"
2023-01-08,Mumbai,19.076,72.8777,Tropical Monsoon,17.237512046087648,513.266907201265,10.0,12358039,30.210610539280882,69.60669369903063,7.149892447428251,262.821946239307,7.368838639942305,70.92527908526093,3.658204483700407,4.749409494378187,7.549738244364991,44.244657028393114,0.5056557982762646,16.21642341542609,124.73659432946536,3.389728780434376,Severe,"['Reservoirs', 'Groundwater', 'Desalination']","['High Population Density', 'Industrial Use', 'Coastal Location']"
2023-01-09,Mumbai,19.076,72.8777,Tropical Monsoon,11.937678609619908,555.8289556643501,10.0,12828139,24.872565060079157,72.16560935599173,6.57058590551285,303.79401675715525,7.238384826374293,79.60892643322191,3.8832155874250476,4.434192944633222,9.73594570529898,41.53472493633943,0.6362223043726609,17.92849080512433,124.50070766236814,3.056750796548259,Severe,"['Reservoirs', 'Groundwater', 'Desalination']","['High Population Density', 'Industrial Use', 'Coastal Location']"
2023-01-10,Mumbai,19.076,72.8777,Tropical Monsoon,13.657861311682307,574.1496901598464,10.0,12081101,26.934633186251105,64.29024505989962,7.9514256002755985,320.86160331756423,7.151447273096267,73.07723375917658,3.568782886032816,4.944083146277567,9.384897083458432,39.18999938322228,0.5299008735694877,16.927639226656385,124.98056723485735,3.7793939559891605,Severe,"['Reservoirs', 'Groundwater', 'Desalination']","['High Population Density', 'Industrial Use', 'Coastal Location']"
